Filename,Seq_index,Time_label,Index,Name,X,Y,Width,Height,Z,"Forward/Backward/cannot tell/brownian/attached (F/B/N/I/A; if both F/B within 5 frames, labled as F, B)",weight,category,sum,description,,,,
ROI__Seq01_4.50s.tif.csv,Seq01,4.50s,9,0025-0749-0430,418,732,24,34,25,B,1,,,,,,,
ROI__Seq01_4.50s.tif.csv,Seq01,4.50s,10,0025-0685-0406,396,670,20,30,25,N,1,,,,,,,
ROI__Seq01_4.50s.tif.csv,Seq01,4.50s,11,0025-0592-0254,242,576,24,32,25,F,1,,,,,,,
ROI__Seq01_4.50s.tif.csv,Seq01,4.50s,12,0025-0926-0441,426,908,30,36,25,F,1,,,,,,,
ROI__Seq01_4.50s.tif.csv,Seq01,4.50s,13,0025-0835-0308,294,824,28,22,25,B,1,,,,,,,
ROI__Seq01_4.50s.tif.csv,Seq01,4.50s,14,0025-0897-0696,680,878,32,38,25,B,1,,,,,,,
ROI__Seq01_4.50s.tif.csv,Seq01,4.50s,15,0025-0661-0992,976,642,32,38,25,N,1,,,,,,,
ROI__Seq01_4.50s.tif.csv,Seq01,4.50s,16,0025-0769-0946,934,750,24,38,25,B,1,,,,,,,
ROI__Seq01_4.50s.tif.csv,Seq01,4.50s,17,0025-1140-0582,572,1124,20,32,25,F,1,,,,,,,
ROI__Seq01_4.50s.tif.csv,Seq01,4.50s,18,0025-0976-0587,574,964,26,24,25,N,1,,,,,,,
ROI__Seq01_4.50s.tif.csv,Seq01,4.50s,19,0025-1175-0830,814,1162,32,26,25,F,1,,,,,,,
ROI__Seq01_4.50s.tif.csv,Seq01,4.50s,20,0025-1127-0870,854,1112,32,30,25,F,1,,,,,,,
ROI__Seq01_4.50s.tif.csv,Seq01,4.50s,21,0025-0909-1143,1126,890,34,38,25,F,1,,,,,,,
ROI__Seq01_4.50s.tif.csv,Seq01,4.50s,22,0025-0892-0959,938,870,42,44,25,F,1,,,,,,,
ROI__Seq01_4.50s.tif.csv,Seq01,4.50s,23,0025-0448-0935,920,432,30,32,25,N,1,,,,,,,
ROI__Seq01_4.50s.tif.csv,Seq01,4.50s,24,0025-0229-0877,860,208,34,42,25,N,1,,,,,,,
ROI__Seq01_4.50s.tif.csv,Seq01,4.50s,25,0025-0246-0797,778,228,38,36,25,F,1,,,,,,,
ROI__Seq01_4.50s.tif.csv,Seq01,4.50s,26,0025-0226-0647,632,208,30,36,25,N,1,,,,,,,
ROI__Seq01_4.50s.tif.csv,Seq01,4.50s,27,0025-1095-0378,366,1080,24,30,25,F,1,,,,,,,
ROI__Seq01_4.50s.tif.csv,Seq01,4.50s,28,0025-1054-0892,882,1040,20,28,25,F,1,,,,,,,
ROI__Seq01_9.00s.tif.csv,Seq01,9.00s,0,0025-0592-0572,558,578,28,28,25,F,1,,,,,,,
ROI__Seq01_9.00s.tif.csv,Seq01,9.00s,1,0025-0544-0802,788,532,28,24,25,N,1,,,,,,,
ROI__Seq01_9.00s.tif.csv,Seq01,9.00s,2,0025-0617-0734,728,608,12,18,25,B,1,,,,,,,
ROI__Seq01_9.00s.tif.csv,Seq01,9.00s,3,0025-0691-0962,942,678,40,26,25,F,1,,,,,,,
ROI__Seq01_9.00s.tif.csv,Seq01,9.00s,4,0025-0870-1021,1004,854,34,32,25,B,1,,,,,,,
ROI__Seq01_9.00s.tif.csv,Seq01,9.00s,5,0025-0822-1110,1096,806,28,32,25,F,1,,,,,,,
