Filename,Seq_index,Time_label,Index,Name,X,Y,Width,Height,Z,"Forward/Backward/cannot tell/brownian/attached (F/B/N/I/A; if both F/B within 5 frames, labled as F, B)",weight,category,sum,description
ROI_20240703_191751_706_Seq00_57.00s.tif.csv,Seq00,57.00s,12,0623-0769,754,614,30,18,0,B,1,,,
ROI_20240703_191751_706_Seq00_57.00s.tif.csv,Seq00,57.00s,13,0879-0896,882,866,28,26,0,A,1,,,
ROI_20240703_191751_706_Seq01_0.00s.tif.csv,Seq01,0.00s,0,0512-0439,422,498,34,28,0,A,1,,,
ROI_20240703_191751_706_Seq01_0.00s.tif.csv,Seq01,0.00s,1,0510-0491,478,494,26,32,0,A,1,,,
ROI_20240703_191751_706_Seq01_0.00s.tif.csv,Seq01,0.00s,2,0556-0404,386,546,36,20,0,B,1,,,
ROI_20240703_191751_706_Seq01_0.00s.tif.csv,Seq01,0.00s,3,0244-0519,504,222,30,44,0,F,1,,,
ROI_20240703_191751_706_Seq01_0.00s.tif.csv,Seq01,0.00s,4,0247-0586,572,226,28,42,0,F,1,,,
ROI_20240703_191751_706_Seq01_0.00s.tif.csv,Seq01,0.00s,5,0395-0722,712,380,20,30,0,B,1,,,
ROI_20240703_191751_706_Seq01_0.00s.tif.csv,Seq01,0.00s,6,0422-0657,642,410,30,24,0,A,1,,,
ROI_20240703_191751_706_Seq01_0.00s.tif.csv,Seq01,0.00s,7,0745-0458,448,732,20,26,0,B,1,,,
ROI_20240703_191751_706_Seq01_0.00s.tif.csv,Seq01,0.00s,8,0748-0370,360,738,20,20,0,B,1,,,
ROI_20240703_191751_706_Seq01_0.00s.tif.csv,Seq01,0.00s,9,0699-0314,304,684,20,30,0,A,1,,,
ROI_20240703_191751_706_Seq01_0.00s.tif.csv,Seq01,0.00s,10,0789-0529,514,778,30,22,0,B,1,,,
ROI_20240703_191751_706_Seq01_0.00s.tif.csv,Seq01,0.00s,11,1103-0315,304,1092,22,22,0,F,1,,,
ROI_20240703_191751_706_Seq01_0.00s.tif.csv,Seq01,0.00s,12,1102-0392,378,1092,28,20,0,B,1,,,
ROI_20240703_191751_706_Seq01_0.00s.tif.csv,Seq01,0.00s,13,0650-0686,676,632,20,36,0,F,1,,,
ROI_20240703_191751_706_Seq01_0.00s.tif.csv,Seq01,0.00s,14,0684-0747,732,664,30,40,0,F,1,,,
ROI_20240703_191751_706_Seq01_0.00s.tif.csv,Seq01,0.00s,15,0750-0840,824,738,32,24,0,A,1,,,
ROI_20240703_191751_706_Seq01_0.00s.tif.csv,Seq01,0.00s,16,0874-0891,884,866,14,16,0,A,1,,,
ROI_20240703_191751_706_Seq01_0.00s.tif.csv,Seq01,0.00s,17,0921-0758,748,908,20,26,0,B,1,,,
ROI_20240703_191751_706_Seq01_0.00s.tif.csv,Seq01,0.00s,18,0931-0841,824,912,34,38,0,A,1,,,
ROI_20240703_191751_706_Seq01_14.25s.tif.csv,Seq01,14.25s,0,0514-0432,424,500,16,28,0,A,1,,,
ROI_20240703_191751_706_Seq01_14.25s.tif.csv,Seq01,14.25s,1,0584-0544,534,574,20,20,0,B,1,,,
ROI_20240703_191751_706_Seq01_14.25s.tif.csv,Seq01,14.25s,2,0593-0578,572,584,12,18,0,B,1,,,
ROI_20240703_191751_706_Seq01_14.25s.tif.csv,Seq01,14.25s,3,0339-0619,606,326,26,26,0,F,1,,,
ROI_20240703_191751_706_Seq01_14.25s.tif.csv,Seq01,14.25s,4,0423-0653,646,408,14,30,0,A,1,,,
