exposure_time,Field,Well,video_index,ROI_index,bug_index,frame,escape_type,notes,last_switch,on_hole_start,on_hole_end,outside_frame,outside_I,outside_x,outside_y,outside_major,outside_minor,outside_angle,inside_frame,inside_I,inside_x,inside_y,inside_major,inside_minor,inside_angle,hole_I,hole_x,hole_y,capsule_inner_I,capsule_inner_x,capsule_inner_y,capsule_inner_d
21,escape_F20_entry_0044.nd2 - C=0-1_t2-1,F20,1,1,1,36,b,not clean,21,36,77,81,35343.225,132.002,95.994,12.428,8.196,0,33,26242.422,80.527,87.404,11.211,5.11,7.751,30777.714,102.866,92.051,30692.203,65.635,97.72,68.078
21,escape_F20_entry_0047.nd2 - C=0-1_t1-1,F20,1,1,1,87,b,short B,69,78,87,96,29125.542,198.665,82.447,11.135,6.747,18.829,77,34846.657,94.475,134.927,9.865,9.035,90,34890.174,92.619,119.443,30140.547,76.419,133.594,66.956
21,escape_F20_entry_0048.nd2 - C=0-1_t2-1,F20,1,1,1,86,b,short B; not clear B,47,71,86,86,27301.076,109.469,128.014,11.664,7.205,126.674,69,33224.032,96.007,98.021,12,9.974,85.09,28834.096,104.088,117.203,28109.586,100.66,80.557,66.956
21,escape_F20_entry_0056.nd2 - C=0-1_t3-1,F20,1,1,1,57,b,short B,43,51,57,59,26281.304,176.562,91.209,10.932,9.201,0,49,29332.11,123.046,87.418,16.056,13.005,0,29455.423,149.533,90.742,27468.714,115.297,70.786,71.088
21,I15_entry,I15,1,3,44,326,f_s,good FII escape,61,318,325,329,30781.787,16.189,98.382,18.749,10.186,13.866,317,28737.208,70.949,61.129,15.436,5.939,65.929,30965.693,56.62,75.108,31275.06,99.868,67.306,81.126
21,I15_entry,I15,2,1,45,537,f_s,"clean, short FII",476,530,537,539,30303.692,135.963,42.008,11.562,5.726,16.798,529,34543.205,90.617,58.848,13.712,10.864,168.014,29146.707,108.885,60.81,31241.15,72.964,68.026,66.143
21,I15_entry,I15,5,1,48,94,f_s,short FII,66,79,97,100,31382.497,118.086,80.885,15.017,12.973,112.441,77,28498.194,71.627,72.562,12.98,7.062,4.959,28107.416,88.653,64.589,30694.373,52.422,60.398,73.101
21,I15_entry,I15,5,1,NA,149,b,previously another bug inside,85,140,149,152,29382.171,119.419,65.52,10.226,9.462,0,139,32874.7,59.006,75.487,8.618,5.91,9.751,28635.202,90.748,69.057,31063.058,52.063,62.099,70.032
21,I15_entry,I15,7,3,52,140,b,"backward entry, no switch",/,123,144,146,30743.469,98.091,105.418,9.561,8.523,90,122,35612.224,66.977,87.542,10.981,7.769,107.327,33774.309,85.682,98.732,31656.221,56.927,74.903,68.078
21,I15_entry,I15,9,2,57,89,b,another bug inside,62,70,90,95,36591.138,14.521,114.992,17.382,6.886,28.461,69,30079.366,65.501,70.491,10.689,4.884,55.675,32537.865,56.811,90.225,32323.459,86.749,63.423,75.027
21,I15_entry,I15,12,1,64,116,b,short B; not clear B,67,98,116,119,39284.6,107.525,3.455,8.975,4.965,40.87,97,32095.667,69.5,50.018,11.742,5.205,66.796,31897.536,87.549,23.498,33645.032,63.013,50.943,62.051
21,I15_entry,I15,17,1,84,215,b,another bug inside,166,196,217,226,38721.551,30.968,10.427,13.164,7.544,109.657,194,36072.866,65.564,44.54,11.113,11.113,0,29447.299,44.434,36.425,33452.098,69.271,66.198,74.027
21,I15_entry,I15,20,2,97,588,f_c,slow bug,124,569,591,595,35861.507,52.036,6.276,14.299,13.356,0,568,28793.829,60.031,48.944,11.911,8.124,102.238,33420.897,57.005,34.172,33474.705,55.195,63.397,66.956
21,I15_entry,I15,25,1,115,502,b,short B,489,493,508,511,34706.121,134.958,46.484,14.986,9.856,28.266,492,32979.283,80.016,54.496,12.212,4.796,13.438,30249.876,111.446,51.59,30054.977,84.59,79.272,71.088
