LABEL,TRACK_INDEX,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,LONGEST_GAP,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TOTAL_DISTANCE_TRAVELED,MAX_DISTANCE_TRAVELED,CONFINEMENT_RATIO,MEAN_STRAIGHT_LINE_SPEED,LINEARITY_OF_FORWARD_PROGRESSION,MEAN_DIRECTIONAL_CHANGE_RATE
Label,Track index,Track ID,Number of spots in track,Number of gaps,Number of split events,Number of merge events,Number of complex points,Longest gap,Track duration,Track start,Track stop,Track displacement,Track mean X,Track mean Y,Track mean Z,Track mean speed,Track max speed,Track min speed,Track median speed,Track std speed,Track mean quality,Total distance traveled,Max distance traveled,Confinement ratio,Mean straight line speed,Linearity of forward progression,Mean directional change rate
Label,Index,ID,N spots,N gaps,N splits,N merges,N complex,Lgst gap,Duration,Track start,Track stop,Track disp.,Track X,Track Y,Track Z,Mean sp.,Max speed,Min speed,Med. speed,Std speed,Mean Q,Total dist.,Max dist.,Cfn. ratio,Mn. v. line,Fwd. progr.,Mn. ? rate
,,,,,,,,,(sec),(sec),(sec),(micron),(micron),(micron),(micron),(micron/sec),(micron/sec),(micron/sec),(micron/sec),(micron/sec),(quality),(micron),(micron),,(micron/sec),,(rad/sec)
Track_3324,17,17,23,0,0,0,0,0,0.8820239752531052,0.0,0.8820239752531052,3.347582318504788,9.491703332124459,1.2797033416360883,0.0,8.006398995350278,80.00882677467715,0.2713492806032839,2.5039028305119264,17.548996006060662,0.9447826069334279,7.061835869341318,3.6387516452841053,0.4740385333845246,3.7953416374471765,0.47403853338452456,47.23319693890081
Track_3325,18,18,247,0,0,0,0,0,9.862631723284721,0.0,9.862631723284721,3.8894456198015175,1.497544127554479,5.468330157630327,0.0,2.7562359174771367,56.84672277264184,0.05443537471653864,1.214492278160496,5.623600942655424,0.996761133554976,27.183739796566776,3.8894456198015175,0.14307985762476813,0.3943618426529008,0.1430798576247681,43.52922526027434
Track_3326,19,19,22,0,0,0,0,0,0.841931976377964,0.0,0.841931976377964,3.5483706937507615,21.637533967623444,4.3417968392462,0.0,6.76151071210254,63.14223685565051,0.6894801107790589,2.997787284836028,13.927387475163007,0.9840909080071882,5.692732077141266,3.5483706937507615,0.6233159484176279,4.214557462250146,0.6233159484176279,53.469718015713866
Track_3327,20,20,6,0,0,0,0,0,0.20045999437570572,0.0,0.20045999437570572,1.337322501854987,50.79737592013793,2.1294887171488583,0.0,49.875009628624454,75.78710745598654,32.30590346694381,52.16494044631732,17.129829892914834,0.7433333396911621,9.997944149642326,4.778561374768758,0.13375974918831982,6.671268778689843,0.13375974918831982,24.14207393655091
Track_3328,21,21,3,0,0,0,0,0,0.08018399775028229,0.0,0.08018399775028229,3.8226347628098125,48.59505639091507,2.437460890901816,0.0,48.927757509545685,52.841305617292186,45.01420940179918,52.841305617292186,5.534592810974668,0.699999988079071,3.9232231980717684,3.8226347628098125,0.9743607665983943,47.67328731494128,0.9743607665983943,11.35769881308035
Track_3329,22,22,30,0,0,0,0,0,1.1626679673790932,0.0,1.1626679673790932,1.2722818787098507,10.08589109206284,5.235384146653808,0.0,5.758057293342199,57.08535702016505,0.1341226753693289,1.0966108727721704,14.633291456088648,0.9243333319822947,6.6947087693025376,2.2467217210641444,0.1900429014244332,1.0942779145948702,0.1900429014244332,46.19607926940847
Track_3330,23,23,67,0,0,0,0,0,2.6460719257593155,0.0,2.6460719257593155,1.1273033886478614,5.700772613718777,5.550614775787445,0.0,1.5655391868236916,20.61936739217828,0.18853850281486076,0.738385294435052,2.970080008515735,0.994328358280125,4.142529290930239,1.1273033886478614,0.2721292499044023,0.4260290046062792,0.27212924990440235,45.17710963856145
Track_3331,24,24,22,0,0,0,0,0,0.841931976377964,0.0,0.841931976377964,3.3903762380820037,21.378388342499562,6.57261112997563,0.0,4.993493886339787,84.34536013085732,0.3618354268544493,0.8741846889602076,18.19099621000365,0.9854545457796617,4.204182176757337,3.3903762380820037,0.8064294303956596,4.0269004304452025,0.8064294303956595,47.35516244235174
Track_3332,25,25,11,0,0,0,0,0,0.40091998875141144,0.0,0.40091998875141144,3.2803249174113525,38.28198239445797,7.4132248099146105,0.0,9.120352649034452,44.044532730901174,0.0,0.5712315610021571,17.958172729036168,0.9800000028176741,3.6565316814597977,3.2803249174113525,0.8971137687782177,8.181993937561698,0.8971137687782177,34.944032571429595
Track_3333,26,26,60,0,0,0,0,0,2.3654279336333275,0.0,2.3654279336333275,1.9058013313074538,44.667376577393675,7.472343340353063,0.0,3.738732962512393,26.810883602795375,0.3345495868251976,2.584724976353447,3.870420866631587,0.9976666669050852,8.843703385922494,2.299706290303197,0.21549810618265758,0.8056898729440971,0.21549810618265744,34.010207264866274
Track_3334,27,27,33,0,0,0,0,0,1.2829439640045166,0.0,1.2829439640045166,1.0021336366774767,12.505667213871813,8.052650487189707,0.0,20.48580332748833,48.69048058700172,2.45214386299765,21.22039667900083,11.71461465556392,0.8515151558500348,26.282137726784782,2.7928606356000087,0.03812983734790254,0.7811203488182502,0.03812983734790252,49.196103863078605
Track_3335,28,28,3,0,0,0,0,0,0.08018399775028229,0.0,0.08018399775028229,3.3452400186097857,12.34865444447434,6.894934441918903,0.0,43.38785674025775,74.1565696065771,12.619143873938407,74.1565696065771,43.513531032312365,0.7099999984105428,3.4790118072503975,3.3452400186097857,0.9615489121474592,41.719546449004646,0.9615489121474592,19.959736495877284
